name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"void IncludeActivity.onCreate(Bundle)","com.liangfeizc.databinding.sample.includes.IncludeActivity.onCreate(android.os.Bundle):void",1,0,  ,98,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/includes/IncludeActivity.java,16,26,N,"void void IncludeActivity.onCreate(Bundle)(class com.liangfeizc.databinding.sample.includes.IncludeActivity *this, class android.os.Bundle *savedInstanceState)",11,0.91,0.85,0,6,16 17 19 20 22 23 24,1
"ObservableActivity.<init>()","com.liangfeizc.databinding.sample.observable.ObservableActivity.<init>()",1,0,  ,78,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/observable/ObservableActivity.java,14,59,N,"void ObservableActivity.<init>()(class com.liangfeizc.databinding.sample.observable.ObservableActivity *this)",11,0.91,0.70,0,4,14 16 17 18,1
"com.liangfeizc.databinding.sample.observable.ObservableActivity.InferGeneratedHarness()","com.liangfeizc.databinding.sample.observable.ObservableActivity.InferGeneratedHarness()",0,0,  ,24,0,/Users/rufi/github/liangfei/AndroidDataBinding/infer-out/sources/com.liangfeizc.databinding.sample.observable.ObservableActivity_InferGeneratedHarness.java,9,0,N,"void com.liangfeizc.databinding.sample.observable.ObservableActivity.InferGeneratedHarness()()",3,0.00,0.60,0,3,,1
"void ObservableActivity.onCreate(Bundle)","com.liangfeizc.databinding.sample.observable.ObservableActivity.onCreate(android.os.Bundle):void",1,0,  ,46,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/observable/ObservableActivity.java,22,59,N,"void void ObservableActivity.onCreate(Bundle)(class com.liangfeizc.databinding.sample.observable.ObservableActivity *this, class android.os.Bundle *savedInstanceState)",11,0.00,1.11,0,12,,1
"void ObservableActivity.setMyName(View)","com.liangfeizc.databinding.sample.observable.ObservableActivity.setMyName(android.view.View):void",1,0,  ,75,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/observable/ObservableActivity.java,47,59,N,"void void ObservableActivity.setMyName(View)(class com.liangfeizc.databinding.sample.observable.ObservableActivity *this, class android.view.View *view)",14,0.00,0.90,1,6,,1
"void ObservableActivity.setOtherName(View)","com.liangfeizc.databinding.sample.observable.ObservableActivity.setOtherName(android.view.View):void",1,0,  ,75,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/observable/ObservableActivity.java,34,59,N,"void void ObservableActivity.setOtherName(View)(class com.liangfeizc.databinding.sample.observable.ObservableActivity *this, class android.view.View *view)",14,0.00,0.85,0,6,,1
"ResourceActivity.<init>()","com.liangfeizc.databinding.sample.resources.ResourceActivity.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/resources/ResourceActivity.java,10,25,N,"void ResourceActivity.<init>()(class com.liangfeizc.databinding.sample.resources.ResourceActivity *this)",5,0.80,0.30,0,1,10,1
"com.liangfeizc.databinding.sample.resources.ResourceActivity.InferGeneratedHarness()","com.liangfeizc.databinding.sample.resources.ResourceActivity.InferGeneratedHarness()",0,0,  ,26,0,/Users/rufi/github/liangfei/AndroidDataBinding/infer-out/sources/com.liangfeizc.databinding.sample.resources.ResourceActivity_InferGeneratedHarness.java,9,0,N,"void com.liangfeizc.databinding.sample.resources.ResourceActivity.InferGeneratedHarness()()",3,0.00,0.60,0,3,,1
"void ResourceActivity.onCreate(Bundle)","com.liangfeizc.databinding.sample.resources.ResourceActivity.onCreate(android.os.Bundle):void",1,0,  ,96,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/resources/ResourceActivity.java,14,25,N,"void void ResourceActivity.onCreate(Bundle)(class com.liangfeizc.databinding.sample.resources.ResourceActivity *this, class android.os.Bundle *savedInstanceState)",12,0.92,0.90,0,7,14 15 17 19 20 22 23 24,1
"ViewWithIDsActivity.<init>()","com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewids/ViewWithIDsActivity.java,11,25,N,"void ViewWithIDsActivity.<init>()(class com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity *this)",5,0.80,0.30,0,1,11,1
"com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity.InferGeneratedHarness()","com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity.InferGeneratedHarness()",1,0,  ,48,0,/Users/rufi/github/liangfei/AndroidDataBinding/infer-out/sources/com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity_InferGeneratedHarness.java,9,0,N,"void com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity.InferGeneratedHarness()()",3,1.00,0.60,0,3,1 2 3 4 5 6 7 8 9,1
"void ViewWithIDsActivity.onCreate(Bundle)","com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity.onCreate(android.os.Bundle):void",1,0,  ,44,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewids/ViewWithIDsActivity.java,17,25,N,"void void ViewWithIDsActivity.onCreate(Bundle)(class com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity *this, class android.os.Bundle *savedInstanceState)",7,0.86,0.48,0,2,17 18 19,1
"void ViewWithIDsActivity.showMyName(View)","com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity.showMyName(android.view.View):void",1,0,  ,36,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewids/ViewWithIDsActivity.java,21,25,N,"void void ViewWithIDsActivity.showMyName(View)(class com.liangfeizc.databinding.sample.viewids.ViewWithIDsActivity *this, class android.view.View *view)",6,0.83,0.30,0,1,21 22 23 24,1
"ViewStubActivity$1.<init>(ViewStubActivity)","com.liangfeizc.databinding.sample.viewstub.ViewStubActivity$1.<init>(com.liangfeizc.databinding.samp3257",1,0,  ,28,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewstub/ViewStubActivity.java,22,39,N,"void ViewStubActivity$1.<init>(ViewStubActivity)(class com.liangfeizc.databinding.sample.viewstub.ViewStubActivity$1 *this, class com.liangfeizc.databinding.sample.viewstub.ViewStubActivity *$bcvar1)",6,0.83,0.48,1,1,22,1
